,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20050328,23241.171,21660.633,20776.725,20111.692,19987.945,20244.911,20774.173,21637.915,24157.166,26426.745,27378.942,27420.422,26571.578,24925.616,24241.594,23829.596,23630.5,24101.092,25190.108,27636.821,30038.606,29376.489,27576.236,25320.219
20050329,24740.044,23311.017,22599.732,22533.261,23073.328,24864.663,30601.673,36703.852,42775.299,44912.642,45116.388,44995.358,41752.933,41481.925,42775.62,43072.626,43002.754,42017.276,40724.396,41347.011,41661.691,39061.403,35539.715,32573.601
20050330,29579.67,27706.321,26912.044,26648.348,26848.646,28154.816,32947.223,39064.171,44748.031,46483.988,46442.313,46029.234,42855.114,42892.516,44277.41,44796.441,44770.473,43836.48,42401.056,42766.966,42820.701,40112.128,36353.004,33112.342
20050331,29599.98,27810.864,26993.134,26722.67,26844.484,28181.03,32761.521,38651.616,44785.093,46754.898,46701.283,46214.036,42759.886,42329.367,43627.821,44019.594,43909.485,42887.438,41633.29,42423.587,42720.028,40066.455,36357.268,33078.615
20050401,29948.015,28140.981,27283.634,27034.592,27188.539,28497.47,32440.64,38658.917,44701.453,46691.318,46655.634,46096.049,42838.077,42392.255,43564.507,43833.157,43568.789,42393.549,40891.562,40943.983,41597.027,39453.948,35786.173,32737.75
20050402,29520.237,27875.956,26881.156,26348.298,26211.668,26568.178,28379.708,31911.997,35802.436,37813.169,37680.748,36793.723,34192.488,32028.055,31277.489,31066.244,30926.293,31310.942,32017.286,34013.84,35380.301,33427.566,31070.865,28685.105
20050403,26119.239,24269.246,23283.792,22700.639,22507.473,22692.937,23021.476,23737.161,26556.843,28989.694,29929.308,30181.509,29607.073,27974.194,27314.543,26840.537,26471.806,26773.054,27788.799,30005.685,32464.653,31667.953,29879.457,27551.503
20050404,25496.327,23969.584,23355.527,23218.154,23690.585,25541.139,30564.188,37154.431,43540.165,45555.755,45700.177,45258.021,42075.769,42000.94,43274.012,43649.575,43561.125,42440.989,40774.793,40955.595,41719.999,39494.786,35772.721,32477.197
20050405,29492.261,27774.682,26906.488,26649.498,26869.25,28162.949,32096.204,38282.52,44310.861,46114.048,46036.54,45440.288,42068.03,41751.588,43165.743,43487.333,43566.964,42502.245,41043.515,41241.176,41970.187,39633.702,35952.031,32704.329
20050406,29959.288,28300.456,27407.24,27083.045,27224.905,28554.763,32446.318,38598.135,44605.435,46320.49,46283.841,45897.061,42468.861,42148.58,43356.458,43628.412,43406.659,42350.467,40893.387,41313.738,42140.387,39941.989,36234.31,32960.115
20050407,29932.171,28208.304,27408.921,27080.199,27211.863,28467.894,32251.296,38326.755,44307.755,46238.14,46336.846,45898.748,42466.615,42033.545,43232.054,43584.032,43394.671,42254.148,40821.701,41029.056,41817.217,39818.485,36225.231,32976.694
20050408,29889.391,28174.557,27272.825,27007.134,27210.6,28472.742,32172.906,38242.772,44000.045,46938.399,46882.014,46242.421,42931.866,42457.94,43134.285,43368.817,43108.597,42004.947,40631.974,40898.642,41712.82,39255.534,35528.065,32245.781
20050409,29633.602,27841.779,26898.994,26450.66,26318.108,26694.461,28470.788,31981.188,35823.007,37709.776,37644.287,36726.901,34164.557,32060.083,31284.544,31074.037,30886.788,31112.999,31834.565,33809.103,35341.178,33588.239,31041.574,28559.158
20050410,26449.275,24588.74,23554.01,23053.529,22880.001,23116.72,23426.897,24125.028,26698.09,29088.409,30063.84,30347.309,29645.833,28039.674,27319.472,26856.783,26481.607,26663.546,27593.926,29914.53,32457.865,31753.899,30076.964,27653.689
20050411,25411.764,23816.442,23107.238,22941.442,23351.909,25156.408,30082.667,36725.556,42892.331,44809.457,45034.209,44610.238,41333.504,41238.988,42516.747,42876.17,42691.465,41514.432,39880.029,40421.95,41545.965,39409.311,35831.208,32481.808
20050412,28917.077,27289.755,26424.842,26230.123,26398.606,27694.593,31542.389,37854.571,43745.67,45600.012,45537.497,45118.764,41890.462,41526.248,42893.708,43085.903,43071.032,41810.519,40263.068,40333.261,41492.895,39244.912,35621.355,32457.847
